# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	7560
#@/user_id	fedc3d7a-10a1-40a4-8722-dc6db483d2ef
a 	啊	c=15 d=1.74342 t=7560
bu fu ze 	不負責	c=1 d=4.78512e-06 t=7560
bu gai 	不改	c=1 d=1 t=2072
bu gai 	不該	c=1 d=1 t=1371
bu gan huo 	不幹活	c=1 d=0.000198445 t=7560
bu gei 	不給	c=1 d=0.00900478 t=7560
bu geng gai 	不更改	c=1 d=0.0169075 t=7560
bu gou 	不夠	c=1 d=4.8091e-06 t=7560
bu guan 	不管	c=1 d=7.24768e-08 t=7560
bu guo 	不過	c=11 d=0.662504 t=7560
bu guo fen 	不過分	c=1 d=0.0323869 t=7560
bu hao 	不好	c=5 d=0.323148 t=7560
bu hao shi 	不好使	c=1 d=6.77287e-05 t=7560
bu hao yi si 	不好意思	c=1 d=0.0492917 t=7560
bu he 	不和	c=1 d=3.26391e-05 t=7560
bu he li 	不合理	c=1 d=1 t=814
bu hui 	不會	c=12 d=0.782132 t=7560
bu ji 	不急	c=1 d=0.0273237 t=7560
bu jia 	不佳	c=1 d=0.000330468 t=7560
bu jia 	不加	c=1 d=0.00181803 t=7560
bu jian kang 	不健康	c=3 d=2.69424 t=2328
bu jian yi 	不建議	c=1 d=1 t=2863
bu jiu 	不久	c=2 d=2.81901e-05 t=7560
bu jiu 	不就	c=1 d=0.0315873 t=7560
bu jiu shi 	不就是	c=1 d=7.57998e-06 t=7560
bu kan 	不看	c=1 d=1.60468e-05 t=7560
bu ke 	不可	c=2 d=0.0434404 t=7560
bu ke neng 	不可能	c=1 d=0.00640933 t=7560
bu le 	不了	c=1 d=7.01412e-05 t=7560
bu liao 	不了	c=0 d=4.51812e-08 t=7560
bu men 	部門	c=3 d=0.0147049 t=7560
bu neng 	不能	c=5 d=0.0640413 t=7560
bu pang 	不胖	c=1 d=2.32315e-05 t=7560
bu pei 	不配	c=1 d=0.0191587 t=7560
bu qi dai 	不期待	c=1 d=6.82444e-06 t=7560
bu qi dong 	不啓動	c=1 d=1 t=704
bu que ding 	不確定	c=2 d=0.0308074 t=7560
bu ran 	不然	c=6 d=0.0153047 t=7560
bu ru 	不如	c=2 d=0.0164036 t=7560
bu shang 	不上	c=3 d=0.00831246 t=7560
bu shang 	補上	c=1 d=0.00321477 t=7560
bu shi 	不是	c=11 d=0.973327 t=7560
bu shi he 	不適合	c=2 d=0.0257534 t=7560
bu shi li hua 	不實例化	c=1 d=5.17027e-05 t=7560
bu shi wo de 	不是我的	c=1 d=0.0104621 t=7560
bu shi yong 	不使用	c=1 d=9.07797e-10 t=7560
bu shu 	不熟	c=1 d=8.9167e-05 t=7560
bu shu 	部署	c=29 d=0.362448 t=7560
bu suan 	不算	c=1 d=0.241714 t=7560
bu tong 	不同	c=12 d=0.0899351 t=7560
bu tui tuo 	不推脫	c=1 d=0.000368894 t=7560
bu xing 	不行	c=1 d=0.00224287 t=7560
bu xing 	步行	c=1 d=6.84094e-05 t=7560
bu xu yao 	不需要	c=3 d=0.113053 t=7560
bu yi ding 	不一定	c=1 d=7.61797e-06 t=7560
bu yi yang 	不一樣	c=3 d=0.289673 t=7560
bu yi zhi 	不一致	c=1 d=1 t=1712
bu ying xiang 	不影響	c=1 d=0.794534 t=7560
bu yong 	不用	c=5 d=0.941774 t=7560
bu yong le 	不用了	c=1 d=8.85082e-06 t=7560
bu yun xu 	不允許	c=1 d=0.339596 t=7560
bu zai 	不再	c=1 d=1 t=3856
bu zai 	不在	c=1 d=0.00386807 t=7560
bu zhi 	不知	c=1 d=0.000139842 t=7560
bu zhi 	佈置	c=1 d=0.00304273 t=7560
bu zhi chi 	不支持	c=3 d=6.15025e-05 t=7560
bu zhi dao 	不知道	c=6 d=0.670208 t=7560
bu zhi xing 	不執行	c=1 d=1.01074e-08 t=7560
bu zhou 	步驟	c=1 d=1 t=3336
bu zou 	步驟	c=1 d=6.31821e-11 t=7560
bu zu 	不足	c=2 d=3.77891e-08 t=7560
bu zuo 	不做	c=1 d=9.9295e-06 t=7560
cai 	才	c=5 d=0.763379 t=7560
cai ji 	採集	c=6 d=4.02953 t=2811
cai neng 	才能	c=4 d=0.00109172 t=7560
can kao 	參考	c=3 d=0.238195 t=7560
can shu 	參數	c=7 d=0.182694 t=7560
cao shou 	操守	c=1 d=0.000218221 t=7560
cao zuo 	操作	c=5 d=0.343009 t=7560
ce 	測	c=14 d=0.616467 t=7560
ce le 	測了	c=1 d=4.36198e-05 t=7560
ce lun 	策論	c=1 d=0.00138785 t=7560
ce lve 	策略	c=11 d=0.0194341 t=7560
ce lve ming 	策略名	c=1 d=1.18918e-09 t=7560
ce neng 	測能	c=1 d=1 t=1290
ce ping 	測評	c=5 d=0.0285213 t=7560
ce shi 	測試	c=42 d=6.56298 t=7560
ce shi hou 	測試後	c=1 d=0.514274 t=7560
ce shi huan jing 	測試環境	c=9 d=0.00011748 t=7560
ce shi ji 	測試機	c=2 d=0.00744277 t=7560
ce wan 	測完	c=2 d=0.818829 t=7560
ce yi xia 	測一下	c=1 d=5.57485e-09 t=7560
cha 	差	c=1 d=1 t=278
cha 	查	c=7 d=0.901299 t=7560
cha bei 	茶杯	c=0 d=0.1 t=907
cha bei tou 	茶杯頭	c=1 d=1 t=908
cha bu duo 	差不多	c=7 d=0.137705 t=7560
cha cha 	查查	c=1 d=0.00223168 t=7560
cha dao 	查到	c=1 d=1 t=3845
cha jian 	插件	c=4 d=1.48979e-07 t=7560
cha kan 	查看	c=13 d=0.247346 t=7560
cha ru 	插入	c=2 d=1.99005 t=3182
cha xu 	插敘	c=2 d=1.12307 t=2907
cha xun 	查詢	c=16 d=0.3919 t=7560
cha yi xia 	查一下	c=2 d=0.114764 t=7560
cha zhao 	查找	c=1 d=0.00195963 t=7560
chai 	拆	c=1 d=1 t=2951
chai jie 	拆解	c=1 d=1 t=203
chan pin 	產品	c=5 d=0.010453 t=7560
chan pin xian 	產品線	c=1 d=0.00895987 t=7560
chang ban 	長板	c=12 d=0.0697485 t=7560
chang cheng 	長城	c=1 d=7.44785e-05 t=7560
chang ge 	唱歌	c=1 d=1.24349e-05 t=7560
chang qi 	長期	c=2 d=0.694197 t=7560
chang shi 	嘗試	c=2 d=1.96042 t=7560
chao 	超	c=3 d=0.0210984 t=7560
chao shi 	超市	c=1 d=1 t=2691
chao shi 	超時	c=1 d=0.00010569 t=7560
chao song 	抄送	c=1 d=4.40582e-05 t=7560
che 	車	c=2 d=0.0057553 t=7560
chen 	陳	c=2 d=1 t=3866
cheng 	成	c=4 d=0.280882 t=7560
cheng 	稱	c=2 d=0.000464592 t=7560
cheng gong 	成功	c=11 d=0.0171632 t=7560
cheng jia 	成家	c=1 d=9.90387e-05 t=7560
cheng pin 	成品	c=2 d=1.9802 t=298
cheng xu 	程序	c=4 d=1.7789 t=2589
cheng xu yuan 	程序員	c=3 d=0.942273 t=7560
chi dian 	遲點	c=1 d=0.00108628 t=7560
chi fan 	吃飯	c=1 d=0.130029 t=7560
chi gua 	吃瓜	c=1 d=0.024234 t=7560
chi xu 	持續	c=1 d=1.09775e-09 t=7560
chong 	蟲	c=1 d=6.20808e-10 t=7560
chong 	衝	c=0 d=0.1 t=567
chong 	重	c=1 d=1 t=569
chong bu shu 	衝部署	c=1 d=1 t=568
chong dian 	充電	c=1 d=0.00562801 t=7560
chong fu 	重複	c=5 d=2.44542e-08 t=7560
chong lian 	重練	c=1 d=1 t=2873
chong ming ming 	重命名	c=1 d=5.67182e-06 t=7560
chong qi 	重啓	c=11 d=1.06647 t=7560
chong shi 	重試	c=2 d=1.85642 t=1528
chong tu 	衝突	c=1 d=1 t=7560
chong xin 	重新	c=12 d=0.508599 t=7560
chong zhi 	重置	c=1 d=1.93111e-07 t=7560
chou 	丑	c=1 d=1.87372e-05 t=7560
chou kong 	抽空	c=1 d=4.54154e-09 t=7560
chu 	出	c=3 d=0.249331 t=7560
chu 	除	c=2 d=1.68729 t=134
chu fa 	觸發	c=2 d=1 t=3894
chu gui 	出櫃	c=1 d=0.0352602 t=7560
chu kong ban 	觸控板	c=1 d=1 t=21
chu kou 	出口	c=2 d=0.237088 t=7560
chu lai 	出來	c=5 d=0.16696 t=7560
chu le 	除了	c=2 d=5.10648e-06 t=7560
chu li 	處理	c=19 d=1.69413 t=7560
chu ming 	出名	c=1 d=7.33697e-05 t=7560
chu shi hua 	初始化	c=4 d=1.71249e-07 t=7560
chuan 	傳	c=14 d=0.0581188 t=7560
chuan 	穿	c=1 d=1 t=2435
chuan di 	傳遞	c=1 d=1 t=2436
chuan xia lai 	傳下來	c=1 d=3.65286e-06 t=7560
chuang 	牀	c=1 d=3.50057e-05 t=7560
chuang jian 	創建	c=46 d=1.11113 t=7560
chuang jian shi li 	創建實例	c=1 d=1 t=2021
chuang kou 	窗口	c=1 d=1.30095e-07 t=7560
chuo 	戳	c=1 d=4.17217e-11 t=7560
ci 	此	c=7 d=0.531975 t=7560
ci 	詞	c=2 d=1.00026 t=3004
ci chu 	此處	c=1 d=0.000251014 t=7560
ci ku 	詞庫	c=1 d=0.690734 t=7560
ci pan 	磁盤	c=15 d=0.000167961 t=7560
ci shi li 	此實例	c=2 d=1.956 t=3463
cong 	從	c=13 d=3.7279 t=7560
cong er 	從而	c=2 d=0.085951 t=7560
cun 	寸	c=1 d=2.91687e-06 t=7560
cun chu 	存儲	c=1 d=2.63929e-06 t=7560
cun huo 	存活	c=1 d=3.16034e-08 t=7560
cun liang 	存量	c=15 d=0.275703 t=7560
cun zai 	存在	c=6 d=0.755235 t=7560
cuo 	錯	c=1 d=0.160414 t=7560
cuo le 	錯了	c=1 d=1.17431e-08 t=7560
cuo wu 	錯誤	c=4 d=0.0121037 t=7560
d i g 	dig	c=1 d=1 t=598
da 	大	c=4 d=0.0553135 t=7560
da 	打	c=1 d=9.85783e-09 t=7560
da bao 	打包	c=14 d=0.339615 t=7560
da bu fen 	大部分	c=2 d=1.00712 t=2461
da de 	大的	c=1 d=1 t=1476
da gai 	大概	c=4 d=0.0269172 t=7560
da ge 	打個	c=1 d=0.000446085 t=7560
da jia 	打架	c=1 d=7.08461e-05 t=7560
da liang 	大量	c=1 d=1 t=3115
da quan 	大全	c=1 d=0.0403566 t=7560
da rao 	打擾	c=2 d=0.856432 t=7560
da rao le 	打擾了	c=1 d=0.000152248 t=7560
da ti zhi 	答題紙	c=1 d=0.0230521 t=7560
da tui 	大腿	c=1 d=9.09683e-05 t=7560
da wen jian 	大文件	c=1 d=1.73892e-09 t=7560
da xiao 	大小	c=2 d=3.61123e-10 t=7560
da xue 	大學	c=1 d=1 t=442
da yin 	打印	c=6 d=0.0284835 t=7560
da yin dian 	打印店	c=1 d=0.00316691 t=7560
da yin ji 	打印機	c=2 d=0.0253898 t=7560
da yu 	大於	c=3 d=1.48459e-06 t=7560
da zi 	打字	c=1 d=0.235746 t=7560
dai 	帶	c=3 d=0.118245 t=7560
dai 	待	c=2 d=2.90498e-09 t=7560
dai ding 	待定	c=4 d=4.70542e-08 t=7560
dai gou 	代溝	c=1 d=0.000100535 t=7560
dai kuan 	帶寬	c=4 d=0.487193 t=7560
dai le 	帶了	c=1 d=7.28276e-06 t=7560
dai ma 	代碼	c=17 d=1.68565 t=7560
dai zhe 	帶着	c=1 d=8.48471e-09 t=7560
dan 	但	c=2 d=0.844985 t=7560
dan 	單	c=2 d=2.82335e-05 t=7560
dan dan 	淡淡	c=1 d=8.76276e-06 t=7560
dan du 	單獨	c=1 d=6.20596e-06 t=7560
dan ge 	單個	c=2 d=1.00026 t=1930
dan hao 	單號	c=1 d=0.238115 t=7560
dan he 	單核	c=1 d=0.0250972 t=7560
dan jian 	單間	c=1 d=3.82099e-06 t=7560
